START_OF_DAY
16:19:21, Рабочая задача номер 1, START_WORK, 00:11:00
16:20:22, Рабочая задача номер 1, START_BREAK, 00:01:00
16:21:22, Рабочая задача номер 1, END_BREAK, 00:01:00
16:21:22, Рабочая задача номер 1, START_WORK, 00:11:00
16:22:23, Рабочая задача номер 1, START_BREAK, 00:01:00
16:23:24, Рабочая задача номер 1, END_BREAK, 00:01:00
16:23:24, Рабочая задача номер 1, START_WORK, 00:00:00
16:24:25, Рабочая задача номер 1, START_BREAK, 00:01:00
16:25:25, Рабочая задача номер 1, END_BREAK, 00:01:00
16:25:25, Рабочая задача номер 1, START_WORK, 00:00:00
16:26:26, Рабочая задача номер 1, START_BREAK, 00:01:00
16:27:27, Рабочая задача номер 1, END_BREAK, 00:01:00
16:27:27, Рабочая задача номер 1, START_WORK, 00:00:00
16:28:27, Рабочая задача номер 1, START_BREAK, 00:01:00
16:29:17, Рабочая задача номер 1, START_WORK, 00:00:00
16:31:05, Рабочая задача номер 1, START_WORK, 00:00:00
16:32:52, Рабочая задача номер 1, START_WORK, 00:00:00
16:35:38, Рабочая задача номер 1, START_WORK, 00:00:00
16:44:56, Рабочая задача номер 1, END_WORK, 00:00:00
16:48:20, Рабочая задача номер 1, END_WORK, 00:00:00
16:49:21, Рабочая задача номер 1, END_WORK, 00:00:00
16:50:35, Рабочая задача номер 1, END_WORK, 00:01:01
16:50:51, Рабочая задача номер 1, END_BREAK, 00:00:00
16:58:55, Рабочая задача номер 1, END_WORK, 00:01:01
16:59:10, Рабочая задача номер 1, END_BREAK, 00:00:00
17:01:30, Рабочая задача номер 1, END_WORK, 00:00:04
17:06:06, Рабочая задача номер 1, START_WORK, 00:00:00
17:06:16, Рабочая задача номер 1, END_WORK, 00:00:09
17:06:31, Рабочая задача номер 2, START_WORK, 00:00:00
17:06:35, Рабочая задача номер 2, END_WORK, 00:00:04
17:07:16, Рабочая задача номер 2, START_WORK, 00:00:00
17:07:18, Рабочая задача номер 2, END_WORK, 00:00:01
17:07:27, Рабочая задача номер 2, START_WORK, 00:00:00
17:07:30, Рабочая задача номер 2, END_WORK, 00:00:03
17:07:47, Рабочая задача номер 2, START_WORK, 00:00:00
17:07:51, Рабочая задача номер 2, END_WORK, 00:00:03
17:11:41, Рабочая задача номер 2, START_WORK, 00:00:00
17:11:43, Рабочая задача номер 2, END_WORK, 00:00:02
17:15:32, Рабочая задача номер 2, START_WORK, 00:00:00
17:15:37, Рабочая задача номер 2, END_WORK, 00:00:04
17:18:15, Обед, START_WORK, 00:00:00
17:18:35, Обед, END_WORK, 00:00:19
17:23:57, Обед, START_WORK, 00:00:00
17:24:00, Обед, END_WORK, 00:00:02
17:24:09, Обед, START_WORK, 00:00:00
17:24:11, Обед, END_WORK, 00:00:01
17:24:13, Обед, START_WORK, 00:00:00
17:24:15, Обед, END_WORK, 00:00:02
17:24:31, Обед, START_WORK, 00:00:00
17:24:33, Обед, END_WORK, 00:00:02
17:24:44, Обед, START_WORK, 00:00:00
17:24:45, Обед, END_WORK, 00:00:01
17:27:16, Обед, START_WORK, 00:00:00
17:27:17, Обед, END_WORK, 00:00:01
17:27:55, Обед, START_WORK, 00:00:00
17:27:56, Обед, END_WORK, 00:00:01
17:28:25, Обед, START_WORK, 00:00:00
17:28:31, Обед, END_WORK, 00:00:06
17:28:41, Обед, START_WORK, 00:00:00
17:28:43, Обед, END_WORK, 00:00:01
