START_OF_DAY
12:26:11, TimeTrecker, START_WORK, 00:00:00
12:50:36, TimeTrecker, END_WORK, 00:24:00
12:50:37, TimeTrecker, START_BREAK, 00:00:00
12:51:38, TimeTrecker, END_BREAK, 00:01:00
12:51:38, TimeTrecker, START_WORK, 00:00:00
12:57:52, TimeTrecker, END_WORK, 00:06:06
17:21:45, смотреть кино, START_WORK, 00:00:00
17:22:14, смотреть кино, END_WORK, 00:00:28
17:22:35, смотреть кино, START_WORK, 00:00:00
17:23:27, смотреть кино, END_WORK, 00:00:50
17:23:36, смотреть кино, START_WORK, 00:00:00
17:24:34, смотреть кино, END_WORK, 00:00:57
17:25:38, смотреть кино, START_WORK, 00:00:00
17:25:39, смотреть кино, END_WORK, 00:00:01
17:25:46, смотреть кино, START_WORK, 00:00:00
18:11:38, смотреть кино, END_WORK, 00:45:00
18:11:38, смотреть кино, START_BREAK, 00:00:00
18:16:44, смотреть кино, END_BREAK, 00:05:00
18:16:44, смотреть кино, START_WORK, 00:00:00
19:02:37, смотреть кино, END_WORK, 00:45:00
19:02:37, смотреть кино, START_BREAK, 00:00:00
19:07:43, смотреть кино, END_BREAK, 00:05:00
19:07:44, смотреть кино, START_WORK, 00:00:00
19:57:35, смотреть кино, END_WORK, 00:45:00
19:57:36, смотреть кино, START_BREAK, 00:00:00
20:02:41, смотреть кино, END_BREAK, 00:05:00
20:02:41, смотреть кино, START_WORK, 00:00:00
20:24:57, смотреть кино, END_WORK, 00:21:49
